ID,createdate,closedate,contract_signed_at,spin_at,proposal_at,mrr,lost_reason,prob,country,drs,stage,paid_at,deals,spins,proposal,contract_signed,won,lost,size,no_show,lost_after_spin,paid_clinics,month_created,month_spin,month_proposal,month_contract,month_paid,month_closed,MRR number value,Drs - number value,True size
8615774383,2022-04-14,2022-04-15,,2022-04-15,,1.135,No Product Fit,1,Brazil,4,Closed lost [set-lost],,1,1,0,0,0,1,small (2-5),0,1,0,2022-04-01,2022-04-01,,,,2022-04-01,1.135,4,small (2-5)
8618848438,2022-04-14,2022-05-03,,2022-04-25,2022-04-25,1.334,Insufficient Funds,1,Brazil,5,Closed lost [set-lost],,1,1,1,0,0,1,small (2-5),0,0,0,2022-04-01,2022-04-01,2022-04-01,,,2022-05-01,1.334,5,small (2-5)
8619217428,2022-04-14,2022-05-12,,,,,Insufficient Funds,,Brazil,,Closed lost [set-lost],,1,0,0,0,0,1,,1,0,0,2022-04-01,,,,,2022-05-01,,,
8628502091,2022-04-15,2022-04-27,,,,,Abandoned,,Mexico,1,Closed lost [set-lost],,1,0,0,0,0,1,,1,0,0,2022-04-01,,,,,2022-04-01,,1,small (2-5)
8645053001,2022-04-18,2022-05-18,,2022-04-22,2022-04-22,253,No Interest,1,Spain,6,Closed lost [set-lost],,1,1,1,0,0,1,medium (6-10),0,0,0,2022-04-01,2022-04-01,2022-04-01,,,2022-05-01,253,6,medium (6-10)
8646480189,2022-04-18,2022-04-25,,,,,Abandoned,,Brazil,,Closed lost [set-lost],,1,0,0,0,0,1,,1,0,0,2022-04-01,,,,,2022-04-01,,,
8650599775,2022-04-18,2022-04-27,,2022-04-21,2022-04-21,7.694,Insufficient Funds,1,Mexico,6,Closed lost [set-lost],,1,1,1,0,0,1,medium (6-10),0,0,0,2022-04-01,2022-04-01,2022-04-01,,,2022-04-01,7.694,6,medium (6-10)
8651466551,2022-04-19,2022-04-27,2022-04-22,2022-04-20,2022-04-20,1.194,,2,Brazil,5,Closed won,2022-04-25,1,1,1,1,1,0,small (2-5),0,0,1,2022-04-01,2022-04-01,2022-04-01,2022-04-01,2022-04-01,2022-04-01,1.194,5,small (2-5)
8653756064,2022-04-19,2022-06-20,2022-05-26,2022-05-18,2022-05-18,456,,1,Spain,13,Closed won,,1,1,1,1,1,0,large (11-15),0,0,0,2022-04-01,2022-05-01,2022-05-01,2022-05-01,,2022-06-01,456,13,large (11-15)
8653849198,2022-04-19,2022-07-18,,2022-04-21,2022-05-05,489,No Product Fit,80,Italy,10,Closed lost [set-lost],,1,1,1,0,0,1,medium (6-10),0,0,0,2022-04-01,2022-04-01,2022-05-01,,,2022-07-01,489,10,medium (6-10)
8655790136,2022-04-19,2022-04-28,,,,,Abandoned,,Spain,,Closed lost [set-lost],,1,0,0,0,0,1,,1,0,0,2022-04-01,,,,,2022-04-01,,,
